================================================================================
Count of Words: Data Structure Edition - Output Report
================================================================================
Arquivo Analisado: input/the-secret-garden.txt
Estrutura de Dados: Árvore Rubro-Negra
Data de execução: sábado, 12 de julho de 2025 - 12:48:21
Quantidade de palavras: 84516

================================================================================
Tabela de Frequências
================================================================================
Palavra           | Frequência
fed               | 1   
federal           | 2   
fee               | 8   
feed              | 2   
feeding           | 3   
feel              | 60  
feeling           | 20  
feels             | 6   
fees              | 4   
feet              | 42  
fell              | 18  
fellow            | 2   
felt              | 109 
ferns             | 1   
ferociously       | 1   
ferrets           | 1   
fettleworth       | 1   
fettleworth’s     | 1   
fever             | 6   
feverish          | 3   
few               | 49  
field             | 1   
fields            | 1   
fierce            | 2   
fiercely          | 4   
fifteen           | 1   
fifth             | 1   
fight             | 4   
fighter           | 2   
fightin           | 1   
fighting          | 3   
figure            | 2   
figures           | 1   
file              | 1   
files             | 1   
fill              | 2   
filled            | 13  
fillin            | 1   
filling           | 6   
film              | 2   
filtered          | 1   
final             | 1   
financial         | 1   
find              | 53  
findin            | 2   
finding           | 6   
finds             | 3   
fine              | 19  
finer             | 1   
finest            | 1   
finger            | 3   
fingering         | 1   
fingers           | 4   
finish            | 1   
finished          | 8   
finishing         | 1   
fiords            | 1   
fire              | 18  
fired             | 1   
fireplace         | 1   
firm              | 2   
firmly            | 2   
firmness          | 1   
first             | 98  
fist              | 4   
fit               | 3   
fitness           | 1   
fits              | 3   
fitted            | 1   
five              | 17  
fix               | 1   
fixed             | 12  
fixedly           | 1   
flags             | 1   
flaming           | 1   
flap              | 1   
flapped           | 2   
flare             | 1   
flash             | 1   
flashed           | 1   
flashing          | 1   
flat              | 4   
flattered         | 1   
flavor            | 1   
fledge            | 1   
fledged           | 1   
fledgling         | 1   
fleece            | 1   
flesh             | 7   
flew              | 26  
flick             | 1   
flies             | 3   
flight            | 7   
flightiness       | 1   
flights           | 4   
flirt             | 1   
flirted           | 2   
flirtin           | 1   
float             | 1   
floated           | 1   
floating          | 2   
flood             | 1   
flooded           | 1   
floor             | 5   
flout             | 1   
flow              | 2   
flower            | 23  
flowerbed         | 1   
flowerin          | 1   
flowering         | 1   
flowers           | 31  
flown             | 7   
fluently          | 1   
flung             | 2   
flush             | 1   
flushed           | 9   
flushing          | 2   
flustered         | 1   
flusters          | 1   
flute             | 3   
fluting           | 2   
flutter           | 1   
flutterin         | 2   
fluttering        | 1   
fly               | 12  
flyin             | 1   
flying            | 3   
fold              | 3   
folded            | 2   
folds             | 1   
folk              | 14  
folks             | 3   
follow            | 2   
followed          | 11  
following         | 9   
follows           | 1   
fond              | 16  
food              | 15  
food’s            | 1   
fool              | 1   
fools             | 3   
foot              | 8   
footman           | 6   
footsteps         | 3   
footstool         | 7   
for               | 357 
for’ard           | 2   
foragin           | 1   
forcing           | 1   
forehead          | 14  
foreign           | 2   
forest            | 2   
forever           | 11  
forevermore       | 1   
forget            | 16  
forgettin         | 1   
forgetting        | 4   
forgot            | 14  
forgotten         | 7   
fork              | 6   
form              | 5   
format            | 4   
formats           | 1   
formed            | 2   
forrad            | 1   
forsaken          | 1   
forth             | 16  
forty             | 1   
forward           | 14  
fou               | 1   
found             | 94  
foundation        | 22  
foundation’s      | 3   
fountain          | 10  
fountains         | 1   
four              | 17  
fours             | 1   
fourteen          | 5   
fowl              | 1   
fox               | 17  
foxes             | 10  
foxglove          | 1   
frames            | 2   
france            | 1   
frances           | 2   
frankly           | 1   
frankness         | 1   
free              | 6   
freedom           | 2   
freely            | 4   
french            | 3   
frenchman         | 1   
fresh             | 48  
freshly           | 1   
freshness         | 1   
fretful           | 8   
fretfully         | 3   
frets             | 1   
fretted           | 2   
frettin           | 2   
friend            | 5   
friendliest       | 1   
friendliness      | 1   
friendly          | 10  
friends           | 15  
fright            | 4   
frighten          | 6   
frightened        | 28  
frightening       | 2   
frightfully       | 1   
fringe            | 2   
frocks            | 2   
frogs             | 1   
from              | 180 
front             | 2   
frothed           | 1   
frowned           | 5   
frowning          | 6   
fruit             | 4   
full              | 47  
fuller            | 2   
fumblin           | 1   
fun               | 9   
funny             | 17  
furies            | 1   
furious           | 4   
furiously         | 1   
furniture         | 4   
further           | 1   
future            | 3   
gabbled           | 1   
gaily             | 1   
gain              | 2   
gained            | 3   
gaining           | 3   
galleries         | 1   
gallery           | 4   
games             | 2   
gapin             | 2   
garden            | 236 
gardener          | 11  
gardener’s        | 4   
gardeners         | 9   
gardenin          | 1   
gardening         | 7   
gardens           | 34  
garlands          | 2   
gasp              | 4   
gasped            | 12  
gasping           | 1   
gate              | 5   
gates             | 1   
gathered          | 2   
gauze             | 2   
gave              | 39  
gay               | 2   
gaze              | 2   
gazed             | 15  
gazing            | 4   
general           | 3   
generally         | 1   
generals          | 1   
generation        | 1   
generations       | 2   
gentians          | 1   
gentle            | 5   
gentleman         | 2   
gentlemen         | 1   
gently            | 5   
gentry            | 1   
germ              | 1   
germany           | 1   
get               | 118 
gets              | 11  
gettin            | 3   
getting           | 12  
ghost             | 8   
giant             | 2   
gibberish         | 2   
gift              | 1   
giggle            | 1   
giggled           | 3   
giggling          | 1   
girl              | 28  
girl’s            | 1   
girls             | 2   
give              | 41  
given             | 11  
gives             | 1   
givin             | 3   
giving            | 2   
glad              | 33  
gladly            | 2   
glance            | 3   
glanced           | 4   
glancing          | 2   
glared            | 1   
glaring           | 1   
glass             | 6   
gleam             | 1   
gliding           | 1   
glimmer           | 1   
glimpse           | 3   
glimpses          | 3   
glistening        | 1   
gloating          | 1   
gloom             | 2   
gloomy            | 5   
glories           | 1   
glossy            | 3   
gloved            | 1   
gloves            | 1   
glow              | 3   
glowed            | 1   
glowing           | 7   
glummest          | 1   
gnarled           | 1   
go                | 162 
goals             | 1   
god               | 4   
goes              | 20  
goin              | 18  
going             | 111 
gold              | 11  
golden            | 9   
gone              | 37  
good              | 112 
goodly            | 1   
goodness          | 2   
goods             | 1   
gooseberry        | 1   
gorse             | 9   
gossipin          | 1   
got               | 110 
govern            | 1   
governess         | 8   
governesses       | 2   
government        | 1   
gown              | 3   
grabbin           | 1   
graces            | 1   
gradually         | 8   
graidelest        | 1   
graidely          | 6   
grand             | 13  
grander           | 1   
grandeur          | 1   
grandly           | 4   
grandmama         | 2   
granted           | 1   
grass             | 55  
grass’ll          | 1   
grate             | 4   
grateful          | 2   
gratefully        | 1   
gratified         | 1   
gratitude         | 1   
grave             | 1   
gravely           | 1   
graves            | 1   
gray              | 37  
gray’s            | 1   
grayness          | 2   
great             | 70  
greatest          | 2   
greatly           | 2   
green             | 51  
greener           | 3   
greenery          | 1   
greenhouse        | 1   
greenish          | 1   
greenness         | 2   
greeted           | 1   
grew              | 20  
grin              | 8   
grinding          | 1   
grinned           | 4   
grinning          | 2   
grins             | 2   
groanin           | 1   
groans            | 1   
gross             | 1   
ground            | 16  
grounds           | 2   
group             | 2   
grow              | 45  
growed            | 4   
growin            | 3   
growing           | 28  
grown             | 15  
grows             | 6   
grumbled          | 1   
grumbling         | 1   
grumpy            | 1   
grunt             | 4   
grunted           | 2   
grunting          | 1   
grunts            | 1   
guard             | 2   
guardian          | 2   
guess             | 1   
guessed           | 1   
guessin           | 1   
gulp              | 2   
gulped            | 5   
gust              | 1   
gusts             | 2   
gutenberg         | 88  
h                 | 3   
ha                | 2   
habit             | 1   
had               | 948 
hadn’t            | 6   
hadna             | 1   
hair              | 20  
hair’s            | 2   
half              | 41  
halfway           | 1   
hall              | 10  
ham               | 2   
hammer            | 1   
hand              | 69  
handed            | 3   
handing           | 2   
handkerchief      | 3   
handle            | 8   
handles           | 1   
hands             | 34  
handsome          | 5   
hang              | 1   
hanging           | 12  
hangings          | 4   
happen            | 14  
happened          | 25  
happening         | 9   
happens           | 2   
happiness         | 1   
happy             | 20  
harangued         | 1   
hard              | 16  
harder            | 1   
hardly            | 1   
harm              | 9   
harmless          | 2   
hart              | 1   
has               | 85  
hasn’t            | 15  
hastily           | 2   
hat               | 9   
hatched           | 1   
hatches           | 1   
hate              | 15  
hated             | 16  
hates             | 9   
hatred            | 1   
haughtily         | 2   
have              | 266 
haven’t           | 4   
havin             | 1   
having            | 12  
hawks             | 1   
haworth           | 2   
haworth’s         | 1   
haze              | 1   
hazy              | 2   
he                | 1775
he’d              | 31  
he’ll             | 22  
he’s              | 120 
head              | 85  
headache          | 2   
headlong          | 1   
heads             | 6   
health            | 1   
health’s          | 1   
healthier         | 2   
healthily         | 3   
healthy           | 13  
heap              | 2   
heaps             | 2   
hear              | 51  
heard             | 95  
hearin            | 1   
hearing           | 2   
hearken           | 1   
hears             | 1   
heart             | 17  
hearted           | 2   
hearth            | 11  
heartily          | 2   
heartless         | 1   
hearty            | 2   
heathen           | 1   
heather           | 12  
heather’s         | 2   
heaven            | 1   
heaven’s          | 2   
heavenly          | 4   
heavier           | 2   
heavily           | 5   
heaving           | 1   
heavy             | 8   
hedged            | 1   
hedgerow          | 1   
hedges            | 4   
heels             | 6   
height            | 1   
heights           | 1   
held              | 43  
help              | 36  
helped            | 5   
helping           | 1   
helpless          | 3   
helplessly        | 1   
helps             | 2   
her               | 953 
herbaceous        | 1   
herbs             | 1   
here              | 121 
here’s            | 4   
hers              | 2   
hersel            | 1   
herself           | 92  
hesitate          | 1   
hesitated         | 5   
hesitating        | 1   
hesitatingly      | 1   
hibiscus          | 1   
hid               | 3   
hidden            | 11  
hide              | 6   
hideous           | 2   
hidin             | 4   
hiding            | 5   
high              | 19  
higher            | 5   
highly            | 4   
highness          | 1   
highroad          | 1   
hill              | 1   
hills             | 2   
hilly             | 1   
him               | 558 
himsel            | 1   
himself           | 87  
hindustani        | 2   
hint              | 1   
hips              | 1   
his               | 751 
hissel            | 1   
hitherto          | 1   
hoarse            | 2   
hoarsely          | 4   
hobble            | 1   
hobbled           | 1   
hobnailed         | 1   
hodgson           | 2   
hoe               | 2   
hold              | 12  
holder            | 4   
holding           | 7   
hole              | 16  
holes             | 3   
hollow            | 4   
hollows           | 1   
holly             | 1   
holy              | 1   
home              | 24  
homecoming        | 1   
homely            | 2   
homes             | 2   
honey             | 3   
hood              | 2   
hoof              | 1   
hooray            | 3   
hop               | 3   
hope              | 8   
hoped             | 7   
hoping            | 2   
hopped            | 13  
hopping           | 4   
hops              | 2   
horrible          | 2   
horribly          | 2   
horrid            | 3   
horrified         | 1   
horses            | 4   
host              | 1   
hot               | 21  
hotel             | 2   
hounds            | 1   
houppe            | 1   
hour              | 14  
hour’s            | 1   
hourly            | 1   
hours             | 13  
house             | 61  
housekeeper       | 3   
housekeeper’s     | 1   
housekeepin       | 1   
housemaid         | 2   
housemaid’s       | 1   
housemaids        | 3   
houses            | 3   
how               | 139 
how’d             | 1   
how’s             | 1   
however           | 13  
howsoever         | 1   
huddled           | 3   
hue               | 2   
huge              | 6   
human             | 8   
humans            | 3   
humiliation       | 1   
hummin            | 3   
humming           | 3   
humor             | 7   
humoredly         | 1   
humped            | 1   
humph             | 1   
humps             | 2   
hunch             | 2   
hunchback         | 10  
hunchback’s       | 1   
hunching          | 1   
hundred           | 19  
hundreds          | 5   
hung              | 9   
hunger            | 1   
hungry            | 18  
hunt              | 1   
hunters           | 1   
huntin            | 1   
hunting           | 1   
hurried           | 3   
hurriedly         | 2   
hurry             | 7   
hurrying          | 3   
hurt              | 4   
hush              | 2   
husky             | 1   
huts              | 2   
hypertext         | 1   
hypochondriac     | 1   
hysteria          | 1   
hysterical        | 9   
hysterics         | 12  
i                 | 1189
i’d               | 20  
i’ll              | 62  
i’m               | 95  
i’ve              | 65  
idea              | 15  
identification    | 1   
identify          | 1   
if                | 537 
ignorance         | 1   
ignorant          | 2   
ii                | 2   
iii               | 2   
ill               | 39  
illness           | 2   
illustration      | 1   
illustrations     | 2   
imagination       | 2   
imagine           | 4   
imagined          | 2   
imagining         | 1   
imitated          | 1   
imitation         | 1   
immediate         | 2   
immediately       | 2   
immense           | 5   
immensely         | 3   
impartially       | 1   
impatience        | 1   
imperious         | 4   
imperiously       | 2   
impidint          | 1   
implied           | 2   
implored          | 1   
imploringly       | 1   
impolitely        | 1   
important         | 5   
imposed           | 1   
imposing          | 1   
impress           | 1   
impressed         | 1   
improve           | 2   
improved          | 1   
improvement       | 1   
improving         | 1   
impudence         | 2   
impudent          | 2   
in                | 1110
inaccurate        | 1   
inactive          | 1   
incantations      | 1   
inch              | 1   
inches            | 1   
incident          | 1   
incidental        | 1   
incidents         | 1   
inclined          | 2   
include           | 1   
included          | 4   
includes          | 1   
including         | 9   
incomplete        | 1   
increased         | 1   
increasing        | 2   
incredulously     | 1   
indeed            | 18  
indemnify         | 1   
indemnity         | 1   
india             | 50  
indian            | 9   
indicate          | 1   
indicating        | 1   
indifference      | 4   
indifferently     | 3   
indignant         | 3   
indignantly       | 5   
indignation       | 2   
indirect          | 1   
indirectly        | 1   
individual        | 4   
indoors           | 1   
indulgence        | 1   
indulgently       | 1   
industriously     | 1   
information       | 8   
infringement      | 1   
inheriting        | 1   
injurious         | 1   
injury            | 1   
ink               | 2   
inkstand          | 1   
inlaid            | 1   
inn               | 1   
innermost         | 1   
innocent          | 1   
inordinately      | 1   
inquire           | 1   
inquired          | 24  
inquiring         | 1   
inquiringly       | 1   
insane            | 3   
insect            | 1   
insects           | 1   
inside            | 27  
insisted          | 3   
inspect           | 1   
inspiration       | 4   
inspired          | 1   
instant           | 1   
instead           | 18  
instinct          | 1   
instructed        | 1   
instructions      | 1   
insult            | 1   
insulted          | 2   
intellectual      | 2   
intelligent       | 1   
intend            | 4   
intended          | 2   
intensely         | 2   
intention         | 3   
intently          | 3   
interest          | 7   
interested        | 17  
interesting       | 4   
interfere         | 1   
interferin        | 1   
internal          | 1   
international     | 1   
interpreted       | 1   
interrupted       | 2   
intervals         | 2   
intimate          | 2   
into              | 190 
introduction      | 1   
intruder          | 1   
invalid           | 9   
invalid’s         | 2   
invalidity        | 1   
invalids          | 1   
invented          | 1   
investigating     | 1   
invited           | 1   
involuntary       | 1   
iris              | 2   
iron              | 7   
irritably         | 1   
irritate          | 1   
irs               | 1   
is                | 398 
island            | 1   
isn’t             | 21  
it                | 1371
it’d              | 9   
it’ll             | 12  
it’s              | 142 
italian           | 1   
its               | 61  
itself            | 19  
iums              | 1   
iv                | 2   
ivied             | 4   
ivory             | 11  
ivy               | 30  
ix                | 2   
jack’s            | 1   
jackasses         | 1   
jacket            | 1   
jackets           | 1   
jam               | 2   
jane              | 1   
jaw               | 2   
jaws              | 1   
jem               | 3   
jerk              | 1   
jerked            | 2   
jerking           | 2   
jet               | 1   
jewels            | 1   
jography          | 1   
john              | 4   
joined            | 1   
joint             | 1   
joints            | 1   
jokin             | 1   
joking            | 1   
jolt              | 1   
jonquils          | 1   
journey           | 4   
joy               | 14  
joyful            | 4   
joyfully          | 3   
joyfulness        | 2   
joyous            | 2   
joyously          | 1   
juicy             | 1   
jump              | 16  
jumped            | 8   
jumps             | 1   
just              | 135 
keep              | 51  
keepin            | 2   
keeping           | 7   
keeps             | 5   
kep               | 2   
kept              | 24  
ketched           | 1   
key               | 32  
keyhole           | 1   
keys              | 1   
kicked            | 1   
kid               | 1   
kill              | 1   
killed            | 3   
kind              | 18  
kindly            | 1   
kindness          | 1   
king              | 5   
king’s            | 2   
kingdom           | 2   
kiss              | 6   
kissed            | 3   
kitchen           | 10  
knee              | 1   
kneed             | 1   
kneeled           | 1   
kneeling          | 4   
knees             | 4   
knelt             | 7   
knew              | 87  
knife             | 4   
knit              | 1   
knitting          | 5   
knob              | 3   
knobstick         | 1   
knock             | 1   
knocked           | 1   
knocks            | 1   
know              | 177 
knowed            | 18  
knowin            | 5   
knowing           | 11  
knowledge         | 1   
known             | 14  
knows             | 46  
la                | 1   
lace              | 4   
lad               | 43  
lad’s             | 2   
ladder            | 5   
ladies            | 3   
lads              | 3   
lady              | 9   
lady’s            | 2   
laid              | 7   
lain              | 3   
lake              | 7   
lakes             | 1   
lamb              | 19  
lamb’s            | 1   
lamps             | 4   
lances            | 2   
land              | 4   
landscapes        | 1   
lanes             | 2   
language          | 5   
languid           | 2   
languidly         | 1   
lap               | 5   
lapping           | 1   
large             | 10  
larger            | 2   
larkspur          | 1   
larkspurs         | 1   
lashed            | 1   
lashes            | 6   
lass              | 7   
last              | 58  
late              | 16  
lately            | 1   
later             | 5   
lath              | 1   
laugh             | 28  
laughable         | 2   
laughed           | 36  
laughin           | 4   
laughin’s         | 1   
laughing          | 29  
laughs            | 2   
laughter          | 5   
laurel            | 2   
laurels           | 1   
law               | 8   
lawn              | 4   
lawns             | 1   
laws              | 10  
lay               | 22  
layin             | 1   
laying            | 1   
lead              | 1   
leaded            | 1   
leading           | 1   
leaf              | 4   
leafbuds          | 1   
leafless          | 1   
leaned            | 13  
leaning           | 3   
leaped            | 2   
leaping           | 1   
learn             | 13  
learned           | 6   
learnin           | 4   
learning          | 4   
learns            | 2   
least             | 25  
leathery          | 1   
leave             | 11  
leaves            | 25  
leaving           | 2   
lecture           | 5   
lecturer          | 1   
lectures          | 3   
lecturin          | 2   
led               | 13  
leein             | 1   
left              | 34  
leg               | 1   
legal             | 2   
legally           | 1   
legged            | 4   
legs              | 23  
length            | 2   
leniently         | 1   
lennox            | 17  
less              | 4   
lessons           | 1   
lest              | 1   
let               | 64  
let’s             | 4   
lets              | 3   
letter            | 8   
letters           | 9   
lettin            | 3   
letting           | 2   
liability         | 3   
liable            | 1   
liberties         | 1   
liberty           | 1   
library           | 7   
license           | 18  
licensed          | 1   
lichen            | 1   
lie               | 17  
lies              | 4   
lieu              | 2   
life              | 24  
lifeless          | 2   
lifetime          | 1   
lift              | 1   
lifted            | 16  
lifting           | 2   
lifts             | 1   
light             | 24  
lighted           | 6   
lighting          | 1   
lightly           | 2   
lightness         | 1   
lightning         | 2   
lights            | 2   
likable           | 1   
like              | 352 
liked             | 38  
likely            | 6   
likes             | 19  
likin             | 1   
liking            | 2   
lilac             | 1   
lilias            | 3   
lilies            | 8   
limbs             | 3   
limitation        | 3   
limited           | 5   
limp              | 2   
line              | 3   
lines             | 1   
linked            | 1   
links             | 3   
lion              | 1   
lion’s            | 1   
lions             | 1   
lips              | 6   
lisabeth          | 1   
listen            | 14  
listened          | 27  
listener          | 1   
listenin          | 2   
listening         | 16  
literary          | 13  
litter            | 2   
little            | 223 
live              | 44  
lived             | 30  
lively            | 4   
liver             | 1   
lives             | 11  
living            | 9   
lizabeth          | 3   
lo                | 1   
loaf              | 1   
located           | 7   
locations         | 1   
lock              | 2   
locked            | 19  
locks             | 5   
lodge             | 2   
log               | 4   
loike             | 1   
london            | 10  
lonelier          | 1   
lonely            | 15  
long              | 116 
longed            | 1   
longer            | 8   
lonlier           | 1   
look              | 172 
looked            | 224 
lookin            | 9   
looking           | 74  
lookout           | 1   
looks             | 21  
loomis            | 1   
loose             | 4   
loosened          | 1   
lord              | 7   
lordly            | 1   
lose              | 10  
losing            | 1   
lost              | 12  
lot               | 22  
lots              | 7   
loud              | 9   
louder            | 2   
loudly            | 3   
lovable           | 1   
love              | 4   
loved             | 8   
lovelier          | 1   
loveliest         | 1   
loveliness        | 2   
lovely            | 23  
loving            | 1   
low               | 34  
lower             | 5   
lowered           | 1   
lowries           | 1   
lucky             | 1   
lulled            | 2   
lump              | 18  
lumps             | 5   
lumpy             | 1   
lunch             | 3   
lunchbasket       | 1   
luncheon          | 1   
lungs             | 1   
luscious          | 1   
luxuries          | 1   
luxurious         | 2   
luxuriously       | 2   
luxury            | 1   
lyin              | 4   
lying             | 19  
ma’am             | 3   
mabel             | 1   
machine           | 1   
mad               | 4   
madam             | 2   
made              | 165 
madman            | 1   
magic             | 95  
magicians         | 1   
magnificently     | 1   
mahouts           | 1   
maid              | 3   
mail              | 1   
main              | 3   
maintaining       | 1   
majestic          | 1   
majesty           | 1   
make              | 97  
maker             | 1   
makes             | 26  
makin             | 8   
making            | 32  
man               | 48  
man’s             | 4   
manage            | 2   
managed           | 2   
manager           | 1   
manner            | 12  
manners           | 3   
manor             | 18  
manservant        | 2   
mantel            | 3   
mantle            | 2   
many              | 49  
march             | 3   
marched           | 3   
marching          | 3   
marchioness       | 1   
maria’s           | 1   
marigolds         | 2   
marked            | 2   
marmalade         | 1   
marred            | 2   
married           | 5   
marry             | 1   
martha            | 182 
martha’s          | 13  
martin            | 1   
marvel            | 1   
marvelous         | 1   
mary              | 674 
mary’s            | 22  
mass              | 1   
massive           | 2   
master            | 24  
masters           | 2   
mate              | 12  
matted            | 1   
matter            | 15  
mattered          | 1   
matters           | 2   
matting           | 1   
maximum           | 1   
may               | 42  
maybe             | 1   
mayn’t            | 4   
mcgrew            | 1   
me                | 301 
meal              | 3   
meals             | 4   
mean              | 14  
meaning           | 1   
means             | 9   
meant             | 22  
measure           | 1   
meat              | 4   
meddle            | 1   
meddlesome        | 1   
meddlin           | 1   
medicine          | 3   
medium            | 5   
medlock           | 128 
medlock’d         | 1   
medlock’s         | 5   
meet              | 5   
meetin’s          | 1   
meeting           | 4   
mellow            | 2   
melted            | 1   
mem               | 6   
memories          | 1   
men               | 3   
men’s             | 1   
menagerie         | 1   
mended            | 1   
mention           | 3   
mentioned         | 2   
mentioning        | 1   
merchantability   | 1   
mercy             | 1   
mercy’s           | 1   
mere              | 4   
merely            | 2   
merrily           | 1   
message           | 1   
mester            | 21  
met               | 7   
method            | 1   
methods           | 2   
mice              | 4   
michael           | 1   
midday            | 2   
middle            | 9   
midnight          | 2   
midst             | 7   
might             | 76  
mignonette        | 2   
mignonette’s      | 1   
mildly            | 1   
mile              | 3   
miles             | 8   
milk              | 11  
million           | 1   
millions          | 1   
mind              | 47  
minded            | 1   
mindedly          | 1   
mine              | 13  
mingled           | 1   
minute            | 25  
minute’s          | 1   
minutes           | 30  
miracles          | 1   
miserable         | 8   
miseries          | 1   
misery            | 1   
miss              | 27  
missed            | 1   
missel            | 10  
misselthwaite     | 35  
missie            | 2   
missing           | 1   
mission           | 4   
mississippi       | 1   
missus            | 2   
mist              | 8   
mistaken          | 2   
mister            | 1   
mistress          | 52  
mixture           | 1   
modification      | 1   
modified          | 1   
modify            | 1   
moist             | 1   
moisture          | 1   
moithered         | 2   
mole              | 2   
moment            | 47  
moments           | 7   
mon               | 1   
money             | 10  
monogram          | 1   
month             | 4   
months            | 7   
mood              | 2   
moon              | 2   
moonlight         | 2   
moor              | 94  
moorland          | 8   
morbid            | 2   
more              | 135 
mornin            | 9   
mornin’s          | 1   
morning           | 75  
morning’s         | 1   
mornings          | 1   
morrison          | 1   
mortar            | 1   
moss              | 3   
most              | 39  
mostly            | 2   
mother            | 103 
mother’s          | 8   
motherless        | 1   
motherly          | 3   
mothers           | 3   
motionless        | 1   
mould             | 3   
mound             | 1   
mount             | 1   
mountain          | 2   
mountains         | 4   
mounted           | 5   
mournful          | 2   
mournfully        | 1   
mouse             | 4   
mouth             | 20  
mouthful          | 1   
mouths            | 4   
move              | 9   
moved             | 10  
movement          | 1   
movements         | 3   
moving            | 3   
mr                | 65  
mrs               | 160 
much              | 125 
muffin            | 1   
muffins           | 1   
muffled           | 1   
mug               | 5   
mumbled           | 2   
mun               | 19  
munnot            | 6   
murmured          | 2   
muscle            | 3   
muscles           | 7   
music             | 3   
musical           | 1   
musically         | 1   
must              | 108 
mustn’t           | 7   
muttered          | 2   
muttering         | 2   
muzzle            | 1   
my                | 151 
mysel             | 2   
myself            | 28  
mysteries         | 1   
mysterious        | 18  
mysteriously      | 2   
mysteriousness    | 2   
mystery           | 3   
mystic            | 1   
mystified         | 5   
nailed            | 1   
nails             | 1   
name              | 22  
name’s            | 1   
named             | 2   
names             | 9   
napkin            | 1   
narcissuses       | 2   
narrow            | 2   
nasty             | 4   
native            | 15  
natives           | 5   
natural           | 11  
naturally         | 1   
nature            | 1   
natured           | 9   
naturedly         | 1   
naught            | 3   
naughty           | 1   
nay               | 1   
near              | 41  
nearby            | 4   
nearer            | 8   
nearest           | 2   
nearing           | 1   
nearly            | 24  
neat              | 4   
neater            | 1   
necessarily       | 1   
necessary         | 2   
neck              | 4   
necks             | 1   
need              | 13  
needed            | 1   
needn’t           | 3   
needs             | 3   
neglected         | 2   
negligence        | 1   
neither           | 18  
nerves            | 1   
nervous           | 6   
nervously         | 2   
nervousness       | 1   
nesh              | 1   
nest              | 26  
nestin            | 1   
nests             | 10  
network           | 1   
never             | 184 
new               | 66  
newcomer          | 1   
newly             | 3   
news              | 1   
newsletter        | 1   
next              | 29  
nibble            | 1   
nibbling          | 1   
nice              | 50  
nicer             | 11  
nicest            | 2   
nickname          | 1   
nigh              | 6   
night             | 38  
nights            | 2   
nine              | 1   
no                | 225 
nobody            | 21  
nobody’s          | 1   
nodded            | 4   
nodding           | 1   
noise             | 6   
noises            | 1   
noisily           | 1   
non               | 1   
none              | 14  
nonproprietary    | 1   
nonsense          | 1   
nor               | 19  
normal            | 1   
north             | 1   
norwegian         | 1   
nose              | 14  
noses             | 4   
nosing            | 1   
not               | 582 
notes             | 1   
nothin            | 16  
nothin’s          | 1   
nothing           | 73  
nothings          | 1   
notice            | 11  
noticed           | 11  
noticing          | 2   
notifies          | 1   
notion            | 1   
nots              | 1   
notwithstanding   | 1   
nourishment       | 1   
novelty           | 1   
now               | 107 
nowhere           | 1   
nowt              | 12  
nudging           | 1   
number            | 7   
numbers           | 1   
numerous          | 1   
nurse             | 61  
nursery           | 10  
nurses            | 3   
nut               | 12  
nutcracker        | 1   
nuzzle            | 2   
nuzzling          | 2   
o                 | 153 
o’clock           | 4   
oak               | 2   
oaks              | 2   
oat               | 1   
oatcakes          | 1   
obedience         | 1   
obedient          | 1   
obediently        | 1   
obey              | 2   
obeyed            | 1   
object            | 3   
objected          | 1   
obliged           | 18  
obsequious        | 1   
observed          | 1   
obsolete          | 1   
obstinacy         | 1   
obstinate         | 2   
obstinately       | 7   
obtain            | 3   
obtaining         | 2   
occasion          | 2   
occasions         | 1   
occupation        | 1   
occupied          | 1   
occur             | 1   
occurred          | 2   
occurring         | 1   
ocean             | 2   
october           | 1   
odd               | 11  
oddest            | 1   
odds              | 1   
odors             | 1   
of                | 1277
off               | 39  
offer             | 1   
offers            | 1   
office            | 1   
officer           | 4   
officer’s         | 3   
officers          | 1   
official          | 3   
often             | 19  
oftener           | 3   
oftenest          | 3   
oh                | 37  
old               | 78  
older             | 2   
oldest            | 1   
on                | 527 
once              | 66  
one               | 338 
one’s             | 4   
ones              | 36  
oneself           | 1   
onion             | 1   
onions            | 2   
online            | 4   
only              | 81  
open              | 41  
opened            | 36  
openin            | 1   
opening           | 6   
openly            | 1   
opinion           | 3   
opinions          | 1   
opportunities     | 1   
opportunity       | 2   
oppose            | 1   
or                | 252 
orange            | 6   
orator            | 1   
orchard           | 11  
orchards          | 2   
order             | 7   
ordered           | 4   
orderin           | 1   
ordering          | 1   
orders            | 13  
ordinarily        | 1   
ordinary          | 1   
organized         | 1   
original          | 1   
originator        | 1   
ornaments         | 1   
other             | 125 
other’s           | 2   
others            | 10  
otters            | 3   
ought             | 15  
oughtn’t          | 1   
our               | 40  
ourselves         | 3   
out               | 411 
outbreak          | 2   
outdated          | 1   
outer             | 1   
outraged          | 1   
outright          | 2   
outset            | 1   
outside           | 19  
outsider          | 2   
outspokenly       | 1   
outspread         | 1   
oven              | 2   
over              | 180 
overcome          | 1   
overdo            | 1   
overexert         | 1   
overfilling       | 1   
overhead          | 2   
overpowered       | 1   
overwhelmed       | 1   
owed              | 1   
own               | 59  
owner             | 4   
owns              | 3   
p’raps            | 4   
paced             | 1   
package           | 2   
packages          | 4   
packed            | 3   
packet            | 1   
page              | 2   
pages             | 1   
paid              | 7   
pail              | 2   
pails             | 1   
pain              | 1   
pains             | 1   
pair              | 10  
pair’ll           | 1   
pair’s            | 1   
palace            | 1   
palanquins        | 1   
pale              | 17  
pampered          | 1   
